k,alpha,beta,coherence,perplexity
5,asymmetric,symmetric,0.3157515274240835,-7.39276375319377
5,asymmetric,0.1,0.31868767972684764,-7.463522507765134
5,asymmetric,1,0.3478981245029006,-7.379304476254999
5,asymmetric,10,0.28614717012398555,-7.654573877536304
5,asymmetric,25,0.3178701007205297,-7.84904936987571
10,asymmetric,symmetric,0.3249609132275154,-7.525847109151373
10,asymmetric,0.1,0.3249609132275154,-7.525847109151373
10,asymmetric,1,0.3485468573430455,-7.471441908586819
10,asymmetric,10,0.36957064073472223,-7.682555683315312
10,asymmetric,25,0.29722034933714525,-7.876884271645751
15,asymmetric,symmetric,0.3247506507680129,-7.635860402242565
15,asymmetric,0.1,0.326349684034095,-7.581291849856853
15,asymmetric,1,0.3599994763648148,-7.530719899878609
15,asymmetric,10,0.39057368606846266,-7.698518548141605
15,asymmetric,25,0.31517899850708786,-7.890818209910981
20,asymmetric,symmetric,0.30720208912706104,-7.702614008158829
20,asymmetric,0.1,0.3044892382135158,-7.600879261997636
20,asymmetric,1,0.37520425053809503,-7.50780094618961
20,asymmetric,10,0.3955071073162016,-7.788904318843405
20,asymmetric,25,0.31754278647804135,-7.899667038413588
